added_route_id,trip_id
76,53145759
62,53145766
76,53145766
62,53145781
76,53145781
62,53145736
76,53145736
62,53145763
76,53145763
62,53215183
76,53215183
62,53215185
76,53215185
62,53215187
76,53215187
62,53215189
76,53215189
62,53215191
76,53215191
62,53215193
76,53215193
62,53215196
76,53215196
62,53215198
76,53215198
62,53215200
76,53215200
62,53215202
76,53215202
62,53215204
76,53215204
62,53215206
76,53215206
62,53277612
76,53277612
62,53277647
76,53277647
62,53277652
76,53277652
62,53277661
76,53277661
62,53277668
76,53277668
62,53277671
76,53277671
62,53277673
76,53277673
62,53277680
76,53277680
62,53277653
76,53277653
62,53277685
76,53277685
62,53145741
76,53145741
62,53145760
76,53145760
62,53145761
76,53145761
62,53145764
76,53145764
62,53145777
76,53145777
62,53145734
76,53145734
62,53145740
76,53145740
62,53145753
76,53145753
62,53145754
76,53145754
62,53145765
76,53145765
62,53215184
76,53215184
62,53215186
76,53215186
62,53215188
76,53215188
62,53215190
76,53215190
62,53215192
76,53215192
62,53215194
76,53215194
62,53215195
76,53215195
62,53215197
76,53215197
62,53215199
76,53215199
62,53215201
76,53215201
62,53215203
76,53215203
62,53215205
76,53215205
62,53277611
76,53277611
62,53277641
76,53277641
62,53277650
76,53277650
62,53277657
76,53277657
62,53277664
76,53277664
62,53277613
76,53277613
62,53277663
76,53277663
62,53277669
76,53277669
62,53277675
76,53277675
62,53277679
76,53277679
741,53343422
742,53343422
743,53343422
741,53343424
742,53343424
743,53343424
741,53343426
742,53343426
743,53343426
741,53343428
742,53343428
743,53343428
741,53343430
742,53343430
743,53343430
741,53343432
742,53343432
743,53343432
741,53343434
742,53343434
743,53343434
741,53343436
742,53343436
743,53343436
741,53343438
742,53343438
743,53343438
741,53343440
742,53343440
743,53343440
741,53343442
742,53343442
743,53343442
741,53343444
742,53343444
743,53343444
741,53343446
742,53343446
743,53343446
741,53343448
742,53343448
743,53343448
741,53343450
742,53343450
743,53343450
741,53343452
742,53343452
743,53343452
741,53343454
742,53343454
743,53343454
741,53343456
742,53343456
743,53343456
741,53343458
742,53343458
743,53343458
741,53343460
742,53343460
743,53343460
741,53343462
742,53343462
743,53343462
741,53343464
742,53343464
743,53343464
741,53343466
742,53343466
743,53343466
741,53343468
742,53343468
743,53343468
741,53343470
742,53343470
743,53343470
741,53343472
742,53343472
743,53343472
741,53343474
742,53343474
743,53343474
741,53343475
742,53343475
743,53343475
741,53343478
742,53343478
743,53343478
741,53343480
742,53343480
743,53343480
741,53343482
742,53343482
743,53343482
741,53343484
742,53343484
743,53343484
741,53343485
742,53343485
743,53343485
741,53343740
742,53343740
743,53343740
741,53343742
742,53343742
743,53343742
741,53343746
742,53343746
743,53343746
741,53343747
742,53343747
743,53343747
741,53343748
742,53343748
743,53343748
741,53343749
742,53343749
743,53343749
741,53343750
742,53343750
743,53343750
741,53343763
742,53343763
743,53343763
741,53343992
742,53343992
743,53343992
741,53343993
742,53343993
743,53343993
741,53343995
742,53343995
743,53343995
741,53344000
742,53344000
743,53344000
741,53344002
742,53344002
743,53344002
741,53344082
742,53344082
743,53344082
741,53344086
742,53344086
743,53344086
741,53365826
742,53365826
743,53365826
741,53365834
742,53365834
743,53365834
741,53365835
742,53365835
743,53365835
741,53365862
742,53365862
743,53365862
741,53365874
742,53365874
743,53365874
741,53365890
742,53365890
743,53365890
741,53365933
742,53365933
743,53365933
741,53365965
742,53365965
743,53365965
741,53365971
742,53365971
743,53365971
741,53366026
742,53366026
743,53366026
741,53366384
742,53366384
743,53366384
741,53366386
742,53366386
743,53366386
741,53366388
742,53366388
743,53366388
741,53366391
742,53366391
743,53366391
741,53366394
742,53366394
743,53366394
741,53366395
742,53366395
743,53366395
741,53366397
742,53366397
743,53366397
741,53366398
742,53366398
743,53366398
741,53366401
742,53366401
743,53366401
741,53366402
742,53366402
743,53366402
741,53366403
